1,0,0,util List contains,util Collection containsAll,util stream Stream containsAll,util stream Stream anyMatch,util Arrays equals,util ArrayList contains,lang Object equals
1,0,0,ArrayList containsAll,Arrays equals,stream Stream containsAll,stream Stream anyMatch,List contains,stream Stream allMatch,ArrayList contains
1,0,0,String valueOf,String split,Thread sleep,String format,String equals,Math min,System currentTimeMillis
0,1,0,util List add,util Arrays fill,util Arrays binarySearch,util Collections sort,util ArrayList set,util Arrays sort,util Arrays asList
1,0,0,nio file File renameTo,nio file Files rename,nio file Files copy,nio file Path renameTo,nio file Paths get,net URL renameTo,lang File renameTo
1,0,0,createTempFile,getCanonicalFile,listFiles,setCanonicalFile,getCanonicalPath,mkdirs,delete
1,0,0,util Stream toMap,util stream Collectors toMap,util List toArray,util Arrays toMap,util Arrays stream,lang String split,util Optional ofNullable
1,1,0,package-summary MutableReduction,package-summary package,Collectors collectingAndThen,Collector of,package-summary NonInterference,package-summary StreamOps,Collectors Collectors toMap
1,0,0,log10,addExact,roundUndecorated,roundceil,pow,roundround,roundfloor
1,0,0,math Math round,util Math round,awt Color brighter,math BigDecimal setScale,math BigDecimal valueOf,lang Math floor,math BigDecimal ROUND
1,0,0,lang Runtime freeMemory,io PrintStream println,lang String getBytes,net URL openStream,io InputStream available,lang Runtime exec,lang Runtime gc
1,0,0,garbageCollection,garbageCollector,garbageCollect,currentTimeMillis,arraycopy,getProperty,gc
1,0,0,Math floor,Double valueOf,Double isProbablePrime,Double isInfinite,Math abs,Math ceil,Double isNaN
1,0,0,lang Double valueOf,lang Double isInfinite,lang Double isProbablePrime,lang Math floor,lang Double isNaN,lang Double is,lang Double infinite
1,0,0,FileInputStream read,ImageIOread read,ImageIO readStreamHeader,ImageIO readAll,BufferedReader read,BufferedImage read,imageIO read
1,0,0,net ssl SSLSocket setEnabledCipherSuites,xml bind DatatypeConverter parseBase,net ssl SSLSocket setURLStreamHandlerFactory,net ssl SSLSocket setSSLSocketFactory,xml bind DatatypeConverter parseHexBinary,net ssl SSLSocket setHostnameVerifier,imageio ImageIO write
0,1,0,util regex Pattern quote,nio file Paths get,util regex Matcher replaceAll,net URI URI,util regex Matcher quoteReplacement,net URL getPath,net URI resolve
1,0,0,URLEncoder encode,System getProperty,String format,StringBuilder replace,String split,String substring,String trim
1,0,0,getName,getDeclaredMethods,asSubclass,getDeclaredPackage,getDeclaredMethod,getCanonicalName,getResourceAsStream
1,0,0,awt Desktop getDesktop,lang Class getSimpleName,awt Desktop open,util Class forName,lang Class getDeclaredMethods,lang Class getPackageInfo,net URLClassLoader newInstance
1,0,0,walkDirectory,newDirectoryStream,getAllFiles,find,list,getParentFile,getDirectories
0,1,0,nio file Files walk,io File isDirectory,nio file Path relativize,nio file Path toFile,lang Class getResource,nio file Paths get,nio file Files newDirectoryStream
1,0,0,suspend,interrupted,interrupt,isAlive,stop,join, sleep
1,0,0,sql DriverManager getConnection,util concurrent Executors defaultThreadFactory,util concurrent Executors newScheduledThreadPool,util concurrent Executors newCachedThreadPool,lang System currentTimeMillis,net Socket setSoTimeout,util concurrent Executors newSingleThreadScheduledExecutor
1,0,0,sortedList,sortBy,shuffle,sortList, sort,listSort,listOrder
1,0,0,util Comparator compare,util Comparator comparing,lang String compareToIgnoreCase,lang String compareTo,util Arrays sort,util ArrayList sort,lang Comparable compareTo
0,0,0,lang StringBuilder replace,lang String replaceAll,io StringBuffer replace,net URLEncoder encode,util regex Pattern quote,lang System arraycopy,lang String format
0,0,0,fill,replace,deepToString,copyOfRange,equals,replaceAll,hashCode
0,1,0,util concurrent Executors newFixedThreadPool,awt EventQueue invokeLater,util concurrent ExecutorService awaitTermination,util concurrent Executors newScheduledThreadPool,util concurrent ExecutorService submit,util concurrent Executors newCachedThreadPool,util concurrent Future get
1,0,0,Thread start,System currentTimeMillis,Thread stop,System exit,Runnable run,Thread yield,Thread interrupt
1,0,0,sortedList,shuffle,frequency,addAll,sortBy,max,listSort
1,0,0,Comparator compare,List sort,ArrayList sort,TreeSet TreeSet,TreeSet sort,List indexOf,List indexOfSubList
